LA,LMA,Nmass,SM,SSD,H,Species1,Biogeo_status
5.518,66.44919657,14.19136,2.216370364,0.705950333,0.4,Micromeria hyssopifolia,TE
6.378333333,78.39038411,14.33771,0.044,0.519330333,0.3,Micromeria lachnophylla,TE
6.62,135.9516616,11.23402,19.97479326,0.683537,0.25,Micromeria lasiophylla,TE
1256.617714,79.94110626,18.80993035,7.114173237,0.457007645,0.5,Micromeria rivas-martinezii,TE
12.763,101.8569302,14.50376333,1.626202832,0.676301667,0.25,Micromeria teneriffae,TE
28.989,102.3376683,8.570573333,0.029,0.345307333,0.3,Monanthes anagensis,TE
15.221,92.92318724,12.99826,1.075317429,0.380731858,0.01,Monanthes minima,TE
975.8525805,64.95311692,16.88704877,1.096818333,0.375235142,0.02,Monanthes wildpretii,TE
5256.76,53.26474863,20.47357,14.30529333,0.566510021,2.5,Navaea phoenicea,TE
51.986,117.9804819,27.70239667,0.283,0.726246,1.3,Parolinia intermedia,TE
3767.668667,26.18772387,29.05106333,0.148,0.232581333,0.6,Pericallis echinata,TE
831.2923333,22.45499678,29.25762667,0.496,0.515523667,0.4,Pericallis lanata,TE
1940.043526,59.70874575,22.07742054,0.072,0.382593522,2,Pericallis multiflora,TE
5893.4425,48.95271312,23.72692667,1.65,0.397222,0.5,Pimpinella anagodendron,TE
1273.653,82.87631456,19.53265,2.557478746,0.374836667,0.7,Pimpinella rupicola,TE
529.9056667,91.84024578,17.58183333,6.555686476,0.401226333,0.1,Pterocephalus lasiospermus,TE
444.2843333,82.77957134,13.26789,2.532,0.403279667,0.3,Pterocephalus virens,TE
823.0856667,135.6683407,14.21969667,20.60661435,0.811966,1.2,Rhamnus integrifolia,TE
25377.67533,94.72892881,11.76797333,2.07,0.255856,0.8,Salvia broussonetii,TE
9971.4255,34.69915109,28.40936667,0.078,0.288849333,1.5,Scrophularia smithii,TE
4889.880163,70.86498347,21.20505338,35.05320639,0.319694773,1.492,Serapias mascaensis,TE
644.789,118.6434632,11.92722,0.204,0.5238385,0.8,Sideritis brevicaulis,TE
2758.53,55.46432339,15.64734333,2.465366929,0.559437,0.7,Sideritis cretica,TE
1518.306917,77.97002699,16.02746343,0.927,0.527569252,0.8,Sideritis cystosiphon,TE
2078.468667,66.79597126,19.2457,0.837777778,0.56396,1.5,Sideritis dendro-chahorra,TE
646.94,123.4014489,12.06612667,0.744,0.334797333,0.8,Sideritis eriocephala,TE
1716.018,43.12309078,15.74272,8.62786873,0.625876333,0.7,Sideritis infernalis,TE
2103.601923,86.46550377,15.23932333,10.7000092,0.610405667,1,Sideritis kuegleriana,TE
1733.721795,77.5003461,16.42196788,0.84,0.508336306,1.5,Sideritis lotsyi,TE
5829.732,56.14895047,22.30004667,0.614,0.322803333,1.2,Sideritis macrostachys,TE
1101.663,124.6600216,10.58378667,4.790712657,0.569295333,0.5,Sideritis nervosa,TE
1129.356,73.49321206,12.125075,0.86,0.430412,1,Sideritis oroteneriffae,TE
986.004,61.86587478,20.65898667,0.882,0.6318885,1,Sideritis soluta,TE
696.5656667,51.68213382,27.53578333,0.313,0.390176,0.3,Silene lagunensis,TE
344.51,78.78726307,14.12932,0.818,0.444796605,0.5,Silene nocteolens,TE
5158.348,45.31004888,18.7784125,13.436,0.5446785,1.5,Solanum vespertilio,TE
3652.062353,43.58268049,13.01094333,6.07521467,0.297292667,0.5,Sonchus fauces-orci,TE
15281.54269,41.58611554,22.89282,0.376,0.287958,0.6,Sonchus gummifer,TE
2585.662105,139.7449932,12.90514,0.368,0.3362955,0.8,Sonchus radicatus,TE
14632.28533,58.63745686,15.22421667,4.086863,0.275657333,0.4,Sonchus tectifolius,TE
1886.947799,66.4705453,21.32132477,0.90569981,0.396194928,0.3,Sonchus tuberifer,TE
7769.53922,80.44527871,22.35422253,33.43142857,0.353386021,0.8,Rhaponticum canariense,TE
48.41913043,29.94684099,30.17034,7.772,0.8177635,1.5,Teline osyrioides,TE
221.3388889,94.87713662,24.94787,7.178,0.685378,3,Teline pallida,TE
1514.137682,69.02471431,28.46165118,6.818918919,0.606036547,1,Teline salsoloides,TE
8369.906154,49.52930882,22.27116,7.053333333,0.164179,1,Todaroa aurea,TE
3431.144221,66.19981938,24.69923454,0.196,0.3479927,0.35,Tolpis crassiuscula,TE
2010.765664,63.33608403,24.87182511,0.602728333,0.349291543,0.25,Tolpis glabrescens,TE
1016.038667,54.45986964,24.71816,0.181,0.352126353,0.6,Tolpis webbii,TE
1635.018,22.01810622,27.46719,28.22571429,0.252877,6,Vicia scandens,TE
976.5179161,60.95269813,21.39963533,3.771167734,0.298823333,0.2,Viola anagae,TE
157.118,114.5635764,14.7069,8.670360865,0.278798333,0.15,Viola cheiranthifolia,TE
1392.150667,125.9442225,9.82412,0.148,0.449335333,1,Vieria laevigata,TE
1224.737,35.51782954,19.63440804,16.90546333,0.7272755,1,Sideritis mascaensis,TE
495.4015,98.65735166,18.90698333,5.535045469,0.5895525,0.5,Sideritis santosii,TE
16.88103448,47.39046063,13.19512,3.722469546,0.457777333,0.3,Micromeria densiflora,TE
